"text","class_label"
"Ex cyclone Debbie is bringing some bad weather where I am and so all schools in SE QLD are closed. So I have early holidays. YAY!!!  3","direct_eyewitness"
"We r receiving the tail end of cyclone debbie theres lots of flooding and all schools in queensland Aust have been closed the wind is wild","direct_eyewitness"
"Little bit late I know, Cyclone Debbie done messed up my town good - but STRIM ON - Solo Arbitrator!","direct_eyewitness"
"'Like being in the path of a train': Our Hamilton Island holiday with Cyclone Debbie","direct_eyewitness"
"We have had a huge drenching in our area, the after effect of cyclone Debbie.  During a break in the weather I... https://t.co/15UmBc2E1C","direct_eyewitness"
"Cyclone Debbie turns to sharknado as one washes up on road https://t.co/NIiXxitPYH","direct_eyewitness"
"Don't be like me, stay inside please  2 https://t.co/4gVjYhub0g","direct_eyewitness"
"So my umbrella just injured me when I tried to walk Dudley in ex-tropical cyclone Debbie https://t.co/hX2ty1Nxng","direct_eyewitness"
"Cyclone Debbie got schools cancelled all over Queensland for two days. Let the holidays begin D","direct_eyewitness"
"See all that green? I'm somewhere under that! #FloodWatch #TCDebbie #Weather https://t.co/A6HFIswhea","direct_eyewitness"
"Thanks to Cyclone Debbie for not only destroying my hometown but also cancelling all flights making me miss the  dixiechicks concert! ўD","direct_eyewitness"
"cyclone debbie has just hit where i live so no school today. all people in queensland please stay safe C","direct_eyewitness"
"Hot tip. Water wrecks the door and the woodwork, and your floor - which itll get under if it gets under the door jam.  #BNEstorm #TCDebbie","direct_eyewitness"
"Delighted to be fleeing Cyclone Debbie on the last flight to leave for Melbourne!! #idontlikerain https://t.co/GhUgZp1mzP","direct_eyewitness"
"No school. 2 bed apartment. Flooding. 3.5 yo. Thanks #tcdebbiehttps://t.co/8XkY6fGNNY","direct_eyewitness"
"Oh guess what, my state is being effected by the ex-cyclone Debbie....the leftover rain/wind is approaching...","direct_eyewitness"
"Now the sky AND the ocean are teaming up to kill us in #Australia! https://t.co/HyFg8Us1if","direct_eyewitness"
" Joe_Sugg Currently stuck in the aftermath of cyclone debbie, what gaming series of yours should I binge watch?","direct_eyewitness"
"Running into rain and wind to pick up debre had me feeling like this #tcdebbie https://t.co/eb3v8SKzTm","direct_eyewitness"
"Cyclone Debbie has been hitting hard all day and only getting harder. Sandbags in place, riding it out","direct_eyewitness"
"Damn you cyclone Debbie I can't get my groceries today","direct_eyewitness"
"Cyclone Debbie hitting Brisbane isn't all bad, just been told we don't have to go into work because it's unsafe „DD","direct_eyewitness"
"Today has been crazy. Sitting here in the eye of ex cyclone Debbie, waiting for it to pass before the winds flare up for one last blast.","direct_eyewitness"
"All schools closed in SE QLD due to the remnants of Cyclone Debbie. This will throw today into a bit of chaos.","direct_eyewitness"
"When you get evacuated because of fucking cyclone Debbie #fuckdebbie","direct_eyewitness"
"Well....Gold Coast are underwater nowA Will get back to ship on next Monday God bless FORT GolfF  #fortegolf https://t.co/hhnOSKfCqk","direct_eyewitness"
"Farmhouse in which I rode out #Cyclone #DEBBIE. Ferocious winds tore holes in walls, smashed windows. Today it was https://t.co/Gv7GgGf3KD","direct_eyewitness"
"Work got canceled from the weather due to Cyclone Debbie :) My weekend starts early!","direct_eyewitness"
"We're getting a little wet today. Ex-cyclone Debbie has sent us some rain. Not a great day for https://t.co/7ttw7uM8ie","direct_eyewitness"
"The rain just got heavier #TCDebbie #DebbieDoesQld","direct_eyewitness"
