"doc_id","text"
"1396786383226753028","Peringatan dini cuaca wilayah Sumatera Selatan [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/0nrvjPDPLt"
"1396785310688714756","#Gempa Dirasakan Magnitudo: 3.1, Kedalaman: 2 km, 24 Mei 2021 17:37:52 WIB, Koordinat: 4.90 LS-103.96 BT (Pusat gempa berada di darat 17 km barat laut Lampung Barat), Dirasakan (MMI): II Liwa #BMKG https://t.co/OiHiTwdNUp"
"1396785259694284802","#Gempa Mag:3.1, 24-Mei-21 17:37:52 WIB, Lok:4.90 LS, 103.96 BT (Pusat gempa berada di darat 17 km barat laut Lampung Barat), Kedlmn:2 Km Dirasakan (MMI) II Liwa #BMKG https://t.co/nyijBKfkT2"
"1396782478963011588","Peringatan dini cuaca wilayah Jambi [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/tvBkwscf25"
"1396776002370498569","Peringatan dini cuaca wilayah Kalimantan Tengah [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/1APZsj8JaV"
"1396770700736688129","Peringatan dini cuaca wilayah Sumatera Barat [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/gsY7BcNnVw"
"1396770384096075776","Peringatan dini cuaca wilayah Sulawesi Utara [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/cUGUJQvxPX"
"1396770043673812995","Peringatan dini cuaca wilayah Kalimantan Utara [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/yoZBCWrUh4"
"1396767810483720198","Update prakiraan cuaca untuk esok hari, Selasa, 25 Mei 2021

Informasi selengkapnya di https://t.co/rVmoPf0hmJ atau unduh aplikasi Info BMKG di Playstore dan Appstore.

#infoBMKG<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B> #markicuvideo<U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B><U+200B> #24mei2021pws https://t.co/36Xnoq48wp"
"1396767736563265537","Peringatan dini cuaca wilayah Lampung [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/NoTtel4zp5"
"1396762987541581825","Peringatan dini cuaca wilayah Bengkulu [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/fXI7HysFRh"
"1396762135435243522","Peringatan dini cuaca wilayah Jawa Timur [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/ab4Ft6EcWV"
"1396756941934788608","Peringatan dini cuaca wilayah Sumatera Selatan [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/UaVzVKhDD5"
"1396756474076876800","Peringatan dini cuaca wilayah Jawa Tengah [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/YwMCHKzESW"
"1396756371446456320","Update Peringatan Dini Cuaca Wilayah - Jawa Tengah Tgl. 24 Mei 2021 pkl. 16:23 WIB
Prakirawan - BMKG - Jawa Tengah
https://t.co/wzKRfDRx1n"
"1396755185934888961","Peringatan dini cuaca wilayah Jabodetabek [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/gLgDFD9GsT"
"1396754207156277253","Update Peringatan Dini Cuaca Wilayah - Jabodetabek Tgl. 24 Mei 2021 pkl. 16:30 WIB
Prakirawan - BMKG - Pusat
https://t.co/wzKRfDRx1n"
"1396753727478845445","Peringatan dini cuaca wilayah Kalimantan Tengah [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/p1t1RSJDwi"
"1396750036420100097","Peringatan dini cuaca wilayah Banten [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/M4gHugw6rg"
"1396747589651820545","Update Peringatan Dini Cuaca Wilayah - Banten Tgl. 24 Mei 2021 pkl. 15:50 WIB
Prakirawan - BMKG - Banten 
https://t.co/wzKRfDRx1n"
"1396747328527106048","Peringatan dini cuaca wilayah Kalimantan Tengah [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/jwggY3wdJb"
"1396744461196038150","Update Peringatan Dini Cuaca Wilayah - Jawa Barat Tgl. 24 Mei 2021 pkl. 15:55 WIB
Prakirawan - BMKG - Jawa Barat
https://t.co/wzKRfDRx1n"
"1396743121933766657","Peringatan dini cuaca wilayah Jambi [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/Mu8YLjJAyO"
"1396742347317121025","Peringatan dini cuaca wilayah Nusa Tenggara Barat [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/11LfXP7bq2"
"1396737889371791363","Peringatan dini cuaca wilayah Gorontalo [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/Wp8mitQN1y"
"1396737193557725184","Peringatan dini cuaca wilayah Kepulauan Riau [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/tMoVL5Uj06"
"1396735511176175620","Peringatan dini cuaca wilayah Jawa Timur [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/q9UtKOdRFk"
"1396733787841519621","Peringatan dini cuaca wilayah Sumatera Barat [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/sHx16oaNFG"
"1396732367994191876","Peringatan dini cuaca wilayah Lampung [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/qKlZtfpRet"
"1396730743179550722","Peringatan dini cuaca wilayah Sulawesi Barat [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/Y6nqDbhayi"
"1396728949086982148","Peringatan dini cuaca wilayah Sumatera Selatan [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/JChjkbuZVw"
"1396728151904903172","Peringatan dini cuaca wilayah Kalimantan Tengah [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/IywHmtaDv3"
"1396722664576720897","Peringatan dini cuaca wilayah Sulawesi Utara [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/a33jbYpSM6"
"1396721789342937088","Peringatan dini cuaca wilayah Sulawesi Utara [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/cQAgb8lMLI"
"1396721787690307584","Peringatan dini cuaca wilayah Jabodetabek [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/eJZyLhhvmg"
"1396720434893058051","Peringatan dini cuaca wilayah Kepulauan Riau [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/NwBKnXKCFh"
"1396719795916083200","Peringatan dini cuaca wilayah Jawa Tengah [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/RJH1UMWm2V"
"1396719738928001024","Update Peringatan Dini Cuaca Wilayah - Jabodetabek Tgl. 24 Mei 2021 pkl. 14:15 WIB
Prakirawan - BMKG - Pusat
https://t.co/wzKRfDRx1n"
