"doc_id","text"
"1396788943157350400","@hadehhhhhhhhh Malam sahabat, hingga 24 Mei 2021 pelaku perjalanan rute tsb wajib menunjukkan surat keterangan negatif  RT-PCR/Rapid Test Antigen/ Tes Genose di Bandara sebelum keberangkatan &amp; tdk diperlukan SIKM. Info selengkapnya, silahkan cek melalui link : https: https://t.co/Mk2B4LKVpR (1)"
"1396788325986484226","il virus cinese. #COVID19 
https://t.co/Um3hCHeGXW"
"1396788313864933377","#BHnasional Selangor juga masih mencatat kes harian tertinggi dengan 2,049 kes, diikuti Sarawak 530 kes, Johor dan Kuala Lumpur masing-masing melaporkan 468 kes

https://t.co/bFwI3QOUQi

#coronavirus #covid19"
"1396677423538843656","#BHnasional Bekas pesakit #COVID19 ceritakan pengalaman ngeri selepas dijangkiti pandemik

https://t.co/7Wd7vQQE4Q"
"1396776470605967363","Situasi Terkini #COVID19 di Malaysia
24 Mei 2021

KES BAHARU: 6,509   kes
&gt; Tempatan: 6,489    
&gt; Import: 20

KES SEMBUH: 3,452
KEMATIAN: 61 / 2,309

Layari https://t.co/CGpD4MiCup untuk berita lanjut... https://t.co/VkxQrfm6bu"
"1396748153525784579","#BHnasional Restoran yang beri servis makan dalam kereta pelanggan langgar SOP 

https://t.co/xt1BVYYUuK

#PKP #coronavirus #covid19"
"1396706927585992705","#BHwilayah Mereka disaran menjadi pendokong kepada usaha kerajaan memutuskan rantaian #COVID19

https://t.co/8u6vxHLMNr"
"1396787343323975683","#BHnasional Sejak PKP dilaksanakan hingga kini, 100,980 orang anggota daripada pelbagai Jabatan dan agensi KDN terbabit dalam penugasan COVID-19

https://t.co/C4HgCMIt6w

#PKP #coronavirus #covid19"
"1396747672044949504","#BHnasional Masyarakat tidak mendapat maklumat tepat keperluan mengambil vaksin
  
https://t.co/ksaZa9tHli

#vaksin #coronavirus #covid19"
"1396780872813142023","Jumlah Kes Positif COVID 19 Mengikut Negeri, 24 Mei 2021 setakat jam 12 tengah hari

https://t.co/49Lxcm2gpn

#coronavirus #covid19"
"1396780661088964609","Info COVID 19, 24 Mei 2021 setakat jam 12 tengah hari

https://t.co/oA5naFDiLy

#coronavirus #covid19"
"1396788192200708097","Aku kan, terpikir. Kalau pendek waktu operasi kedai makan dan kawan kawan kedai makan tu, boleh ke covid19 di kawal? Research mana eh menunjukkan kedai makan bukak certain hour boleh kurangkan jangkitan covid 19"
"1396788140845584384","Terpapar Covid-19, Seorang Perawat di RSUD Mandau Bengkalis Meninggal Dunia https://t.co/D7DPnFsj83"
"1396658214263869443","Tujuh Daerah Zona Merah Covid-19, Termasuk Pekanbaru Diminta Waspada https://t.co/jMpGswvjN0"
"1396788114006237191","Siapa yang belum tengok lagi? Covid19 bukan rekaan. Janganlah #KitaLalai 
Video disebar dengan izin untuk kesedaran semua. #KitaBelumMenang #KitaAkanMenang https://t.co/ZzvL7FdtMO"
"1396788062357762049","<U+0001F5D3><U+FE0F>24/05 #COVID19 #Euskadi

<U+0001F9EA> 5228 test
<U+2795>241
<U+0001F7E0> 4,6% 
<U+0001F3E5> PLANTA 214 [-3]
<U+0001F691> UCI 124 [-1]
<U+0001F9A0>Rt 0,93 [+0,02]

<U+0001F449> Euskadi IA-&gt; 228,08 (-5,23<U+2B07><U+FE0F>)

<U+0001F4CD> #Araba: 25 [IA -&gt; 120,53<U+2B07><U+FE0F>]
<U+0001F4CD> #Bizkaia: 125 [IA -&gt; 259,00<U+2B07><U+FE0F>]
<U+0001F4CD> #Gipuzkoa: 88 [IA -&gt; 222,08<U+2B07><U+FE0F>]
Besteak/Otros: 3"
"1396787883734827009","[TERBARU] Penanganan #COVID19 di Jakarta.
(1/2) Update data tes PCR/antigen, kasus dan vaksinasi DKI Jakarta 24 Mei 2021. Strategi tes, lacak dan isolasi terus digencarkan untuk temukan sebanyaknya kasus positif agar tidak menularkan virus.
#JagaJakarta  #PSBBJakarta #PPKM https://t.co/XWX7DTve8W"
