"text","class_label"
"jelek film si ernest gak mutu bgt actingnya film sampah","negative"
"film king arthur film jelek cerita king arthur","negative"
" film gwa kasar bapak","negative"
"ane ga suka fast and furiousmenurutku jelek ya tu film","negative"
" gua ga tau film nya lu bilang perang perang perang ama rp yaoi ambigu v","negative"
"tolong editingnya yg bagus ya kecewa dgn film indonesia tunggu film","negative"
"kecewa dgn salah aktor yg dukung nista agama ah sabar utk tonton film","negative"
"kecewa parah film the guys dear sorry to say this","negative"
" yg kecewa abis nonton film","negative"
" film memgecewakan hidup yah sy udh berekspektasi suka bgt mesir kuno","negative"
"film jelek ga isi","negative"
" nonton film indonesia bioskop kartini critical eleven gambar kartini ale a lemah","negative"
"nonton film miris jam jam bangsa bodoh serakah gila kawin ironis","negative"
"btw danur jelek banget gausah tonton hans gue bayang lo film ntar lol","negative"
"film kartini trlalu singkat tonton yg blm baca biografi ttg kartini bingung sndiri emg blm baca bukuny","negative"
"habis nonton the guys kecewa nonton film banding film anjlok ya","negative"
" udah nonton film alien kecewa ya ragu nonton","negative"
"satusatunya rugi nonton film action aktor liat jelek p","negative"
" film bilang baguskelompoknya doang kasih harga aj nonton jelek","negative"
" sudah hidup singkat dihabisken tonton film jelek","negative"
"film king arthur jelek bagus cenderung mudah lupa","negative"
"jelek ah jelek film dimension rilis akting ga","negative"
"duh film ribet banget","negative"
"dgn durasi film yg tll alur yg datar stlh selesai sy dgn sih","negative"
" adegan potong rusak film","negative"
" selesai nonton film goal turun kualitas film nya drastis parah","negative"
" ingat film beda buku bikin kecewa teman ngajak nonton black bulter","negative"
"ogah nonton kecewa ama film","negative"
"kecewa berat film power rangers bawah ekspektasi banget","negative"
"bahas film angkat novel kalo bikin film puas aja gitu","negative"
"sebenernya nggak salah akting prilly film danur oke oke aja greget cerita sih kuat","negative"
" abis nonton film balap mobil itutertidur menit lelah bosan","negative"
"the mummy film yg aneh tengah film","negative"
" aneh film besut marvel ga postcredit scene nyakaya film yg habis tonton","negative"
"film norak","negative"
" film critical eleven rusak image ale a kepala","negative"
" suka filmfilm romantis endingnya jadi","negative"
"balik novel angkat film sesungguhny campur tang produser sok tau embel jual","negative"
" ga respect laku si dian sastro film hambar ga mutu","negative"
"sebnarnya film lumyan bgussayangnya aktor n aktris rusia film trsa hambar","negative"
"kalo nol bikin film gak perempuan seksi bumbu cinta hambar","negative"
" insidious creepy bikin tegang film datar pengaruh","negative"
" gue nonton film homo aja rumit bener","negative"
"sayang banget film lokal bagus budgetnya layar tonton batas banget sayang banget","negative"
"film nonton nya bikin gue derita","negative"
" gue nonton the mummy bilang film nya bagus bioskop sesal","negative"
"malam nonton film pagi ane download malem langsung nonton ane smpai begadang hasil ane kecewa","negative"
" takut kecewa nonton film danur takut ga suai ekspetasi buku mikir serius","negative"
"nonton alien covenant mall kaya nonton bajak parah yg skip mati mati jelek parah film bagus jelek","negative"
"gue orang yg jarang bgt nntn film indonesiakrn nntn gue slalu kecewa buat film yg mnrt gue ga totalitas","negative"
" ragu nonton banyak kecewa nonton film adaptasi novel","negative"
" gamau berekspektasi sih film angkat dr buku kecewa","negative"
"ya tidur kecewa film nya diharepin hufy","negative"
" ane kecewa ma nih film udah nungguin","negative"
"ka udah nonton kecewa nonton film tu","negative"
"jenuh nonton film hambar","negative"
"sesal dada nonton film","negative"
"netizen batal nonton film kartini garagara laku","negative"
"film jelek ga isi","negative"
" film aneh ajaa","negative"
" aneh film baru conan kali gk spektakuler tp openingnya hancurin gedung sih","negative"
" film bikin emosional benerbener nyedot emosi","negative"
" film busuk artis dungu rusak bhineka","negative"
"kecewa dgn plot cerita film the guys critanya akan lompat ga proses visual yg bs bikin kta erti amira suka sm alfi","negative"
"jijik banget film pas kelinci gede nightmare parah","negative"
"bnyak yg bilang film mummy jelek pdahl en nonton","negative"
" bilang film jelek daur ulang gagal imdb ratattote aja ratingnya anjlok tp turut suka film","negative"
"naruto film bodoh haha","negative"
"gw ekspektasinya film kuat narasi yg gw jadiin motivasi tp kalimat inspiratifnya hehehe","negative"
"film e hambar","negative"
"film the mummy gue gak suai harap gimana gitu film weird film tipe bang tom","negative"
"yah kirain film wkwk tonton kecewaa","negative"
" bilang jelek ya bilang aja yg film teman filmya bagus aja ngga bkin tmen lu maju sih","negative"
"abis nonton king arthur temen gw sen sblm nonton loh film jelek jgn percaya ama sen yg unsur","negative"
"kadang gampang nilai film jelek timbang nilai film bagus mbuh","negative"
" film dah udh bgni jijk","negative"
"film kartini menang pd main film yg kelas yg nama ceritany riset","negative"
" yg ajar sejarah gimana konflik yg tampil film kartini kaya penuh ekspektasi aja","negative"
"film byk sensor g hambar","negative"
"moga ga busuk kyk film yg","negative"
"flm arah tuju nggak nyesel download sabar uji — tonton hangout film","negative"
" nonton film hambarr","negative"
" erti film nya the mummy","negative"
"kecewa deh pkoknya mslh jam tayang bs aja ngertiin tp klu film cut yg g bs dingertiin","negative"
" novel favorit film hasil bikin kecewa parah tp teaser team ce serius film","negative"
"inti kmren kecewa bgt krna mmbiarkan anak nnton film dewasa jam tayang malam wib","negative"
"aduh film jijk parah","negative"
"kecewa parah nnton film the guys ksini radit bkin film gapernah bener lucu nggak jalan cerita gadapet","negative"
" kecewa film danur luar ekspektasi","negative"
"ancur bgt film jelekk","negative"
"flm nya jelekk bingittsss","negative"
"film hangout aja sih gak kecewaa","negative"
" ending film kamar jelekk","negative"
"film aja ngehek seriesnya ngehek ga","negative"
" suka film cewe terllu buka tampil klo tonton anak","negative"
"buried film budget murah tingkat depresi tinggi","negative"
" film mikir ngapain nonton film isi anak sma nyesel","negative"
"gila film britney ever after jelek banget parah nyesel nonton gak sampe abis","negative"
"film danur nggak novel harap rem cuman bikin boring sorry teh novel bagus","negative"
"ga gua nonton film setan indonesia thur kecewa murah ngandelin x","negative"
"keren bang flm lo sahabat keluarga cinta kentel banget tokoh main pas keren bang","positive"
"habis nonton film kong skull island lumayan greget film deh layak nobar","positive"
"bravo main bagus sudut pandang cerita tarik film tonton perempuan lelaki","positive"
"abis nonton film bagussss bgt dr sampe haruuuu","positive"
" bangga suka film yg kandung bnyak makna sperti","positive"
" film dramatis laris","positive"
"film kartini telat nontonnya film bagus bangetkalian sukses mendeliver cerita pesan good job guys","positive"
" tangis film kartini","positive"
"pokok nonton film kartini asli keren nonton bioskop ya bikin susah loh","positive"
"film divergent seru ah udh selesai sih","positive"
" get out kalo cepetan nonton mending nonton fast furious","positive"
" suka video trailer film the guys bioskop april","positive"
" banyak nangisnya selera sy kagum film","positive"
"thank you mas tim yg uda danur film nya keren bangetbuat tmn yg nonton sila tonton rekomended","positive"
" film horor indonesia laris tonton tayang maret","positive"
"tambah film indonesia favorite ya baca buku nonton gak kecewa bagus","positive"
" coba nonton film deh asik parah","positive"
"nonton get out bener gk ekspektasi tarik karna film jordan peele puas keren parah film sakit jiwa","positive"
"kalo nyari film comedy recomended nih lucu parah asli","positive"
"cek tread aja film gak kenal asik tonton nemu film bagus","positive"
" film bagus banget bioskop judul ziarah film indonesia patut apresiasi","positive"
"critical eleven film bagus cerita main gambar bagus puas banget dah nontonnya","positive"
"film ziarah layak tonton en peluk sutradara sukses arah pemeran mbah sri peran umur thn","positive"
" nunggu tahun ni film","positive"
" satu film indonesia yg gue tunggu bgt tonton liat film lgsg gagal moveon pgn nnton lagiii","positive"
"tp bangga kali lipat kalo film perdana ledak pasar catat film laris","positive"
" mbah cucu barusan nonton night bus gila keren gin ya tinggal dikit layar bandung mbah kasi","positive"
"film indonesia baik tonton putar bioskop mei catat hape tonton pertama","positive"
" sampe kagum banget film the guys raditya dkk kocak banget","positive"
"papa mama nonton critical sm film indonesiamereka blg film bagus terimakasi","positive"
"sumpah film danur bagus banget yg nihh film nyata benerseru bikin ngageting","positive"
" yg udah nonton the guys pilih nonton film action yg seru cocok nemenin pas long weekend","positive"
"nonton film the guys film ngakak abis sedih film paket yg komplit hehehehe sukses","positive"
"sumpah film bagus bngt nonton berkalikali gapernah bosen film the guys inspirasi tnx bang udah film","positive"
"kalo om nonton kartini banget sih nonton film korea judul obsessed tp huehe","positive"
"nangis gegara nonton film kartini epic banget","positive"
" film ziarah muat lapis hidup cinta sejarah misteri simak","positive"
" film kartini tonton umur film hibur didik inspirasi","positive"
"film sejarah jarang negara baca sejarah enggan tonton film kartini","positive"
"kerja film sungguh main produksi selamat ya mas","positive"
"lapor mbah film keren worth to watch syukur instrospeksi abis nonton","positive"
"thanks for today film bagus banget dapet feel nya lucu tawa amazing poko","positive"
"film ziarah amat keren bangga layak oscar","positive"
"barusan bgt kelar nntn film lokal yg gue tonton hasil bikin nangis speechless liat aktingnya","positive"
"bahagia temu film keren","positive"
"film kartini bagus bangettt wajib tonton","positive"
"minggu nonton review neng sih film horror indonesia bagus","positive"
" inspirasi juang junjung nilai benar dominasi kuasa kaku budaya","positive"
" bikin film horror film danur rujuk ringan takut","positive"
" moral yg petik film wonder woman salah satu jaga aurat dr cowok hidung belang","positive"
" film horor indonesia berpendapatan dapat tiket","positive"
"trust me tipe film nyaman nikmat gak tau film mana baca sanasini ya beda","positive"
"nonton film berbudget minim tp hasil sungguh tk duga bgtu jenius smp mkir brulang yg sbnrnya trjadi","positive"
" salah film yg simple hasil luarbiasa ga aneh film dapet critical acclaim","positive"
" sy bahagia krn film bagus tonton mrk mrk tugas guru guru bagus","positive"
"pokok nonton film kartini asli keren nonton bioskop ya bikin susah loh","positive"
"film kartini bagus banget sebelah sampe nangis film resah tonton","positive"
" film keren falsafah hidup salut","positive"
"malesan ajak liat the guys ngerasa duit terbang pasca nonton hangout eh beda tjoy film keren","positive"
"minta buka warganet indonesia sempat tonton film ziarah salah yg baik yg","positive"
" ngiang film critical eleven ya tuhan betapa ajar dr tonton hemmmm","positive"
"habis liat film kartini yg biasapemikiran gerak kartini hrs lanjut","positive"
" layak utk apresiasi gading yg retak tp retak samar film bagus","positive"
" film danur kesan sosok asih expresi datar penasaran","positive"
"danur seru bangat flm nya yg blm nonton harap nonton","positive"
"filmfilm cocok lho tonton bareng anak yuk nonton film kualitas indonesia","positive"
"gue udah nonton bang sumpah pecah banget nih film hasil bikin mewek nontonnya","positive"
"nih film komedi lucu bangt bahasa jawa","positive"
" sih sempet khawatir liat film adaptasi dr novel takut gak suai ekspektasi tp bikin speechless","positive"
"salah film yg gak bikin bosen tonton kali the intern what a lovely movie","positive"
"gk nysel bg uda ntn vlog mu the guys dri smpe akhrnya bayar film mu bang kern kli serius","positive"
" abis nonton gokil sih premis keren film","positive"
" slamat koh ernes menang film cek toko belah kuat karna agam ragam","positive"
" film keren banget bang keluarga cinta sahabat komedi dpt banget sumpah cinta alfi","positive"
" scene rezaadinia gold moment dua emg dah takdir pasang plg cocok film","positive"
"film keren main gembira tonton tangis","positive"
"rt jarang nonton movie indonesia judul syahadat cinta bagus pemirsa recommended jalan cerita seru hoo…","positive"
"astagah film favorit lanjut","positive"
" belun moveon bikin ajar buku yg adaptasi film gak samak kualitas","positive"
" nonton critical eleven senang masuk kategori film indonesia wajib tonton","positive"
" coba nonton film deh asik parah","positive"
" film keren","positive"
" suka film bentar tarik","positive"
"ga sabar nunggu bluray nya special feature keren lucu kalo bloopernya","positive"
"film the guys wajib tonton sayang orang tua sahabat creatif cinta bebas kereen bgt kak","positive"
"film the guys nya keren abiss bang lucu dapet romance nya dapet sedih nya dapet","positive"
" vlog nunggu tanggal rilis nonton kece banget cerita tebak film the guys","positive"
"kmrn nonton film the guys situ bener ngerasain bgt sahabat segalay knapa bang bkn film sllu keren","positive"
"kartini pemamarannya sederhana film enak nikmat","positive"
"abis ntn film kartini bnr inspirasi buka pikir","positive"
" nonton kartini salah film nasional yg recommended tonton nangis campur aduk","positive"
"film kartini niat banget lihat film keren mana scene yg sy titik air mata","positive"
"kartini salah film indonesia tema sejarah baik yg garap dgn serius tema msh relevan dgn kondisi skrg","positive"
" film kartini tonton generasi muda","positive"
"turut danur bagus bangga film horor hasil karya bangsa","positive"
"fargo adaptasi film hasil season nya the best","positive"
" waw keren flm horor dng tonton gin dlm","positive"
" film tenang hanyut salut mbah ponco yg bawak karakter mbah sri","positive"
"film yg tarik kisah cinta setia yg saji bikin kgn nenek recomended movie","positive"
"nntn film bagus kali menit tonton gak anjak tetep ngliatin layar pdhl film dah selesai msh spicles sm endingnya","positive"
