"rating","text","class_label"
7,"I've seen the older movies of Mortal Kombat, and as cheesy and bad CGI as it was, the fights/tournaments, music, and plots were great. I was excited to see this new movie, and it wasn't that bad, but was still left unsatisfied. I was surprised that I fell in love with Kano; he was charming, hilarious, and prob the best character. Following him, I enjoyed SubZero and his fight scenes. Sonya Blade wasn't too bad too. One character that i had no interest in was the main guy, Cole. He was just boring and unnecessary. Even his ""power"" was....blah. I wish they had Liu Kang as the main guy, his story is more interesting. Another disappointment in this was the lack of tournaments in this movie, that was supposed to be the main plot of the whole movie. In addition, they did Goro dirty in this. His fight scene was short and missed the mark, and even though he was the big villain in the first movie, they showed him for less than 5 minutes in this one. Hopefully they bring him back somehow for a better fight in the 2nd movie. If they do, I'm excited to see my boy Johnny Cage!","positive"
7,"Great action and fight choreography as was to be expected from a movie with this title, special effects regarding characters and their abilities were also very well done especially considering the budget constraints this movie had. Storyline was predictable from the beginning and the writing itself isn't gonna win any awards, characters say their catchphrases from the games in key moments of the film, however, one big surprise for me was the character of Kano. He was the biggest and funniest comic relief character in the whole movie, constantly throwing jokes and insults at other characters. Probably one of the funniest, self aware movie characters I've seen in a long time.There are also weird editing jumps in the movie, one moment you're looking at characters interacting and in the next you're looking at something completely different. The movie suffers from a few of these, but given this is the directors first foray into the world of movie making, I'll take that L, most of the other important things were handled with care,If you know what you're getting and your expectations are right, this movie isn't gonna let you down with violence and gore, if you're expecting more then it's gonna be a letdown.","positive"
7,"I believe that I'm speaking for most fans when I say that I was expecting this to be loyal to the original storyline - a thought that the movie trailer ended right away. Instead we were presented with lots of deviations, and a sort of ""prequel"" that states a hope to build a cinematic universe around Mortal Kombat for the coming years, which don't get me wrong, is a very good thing. What I do think it's bad is the general acting - regarding some exceptions - along with character build up. Outworld characters appear to fall from the sky with little to no storyline attached to who they are and where they came from, when there was a lot to tell, especially about Shang Tsung, Mileena and Kabal. Actors playing Liu Kang, Kung Lao and particularly Raiden were close to average, along with their argument which was little to none. Kabal's voice was also not adequate to its figure. The guy's breathing through a metal mask and is stuck in an ""iron lung"" and sounds like a young wannabe highschool bully.Now the big elephant in the room, Cole Young. Adding a new character isn't that bad, but a new protagonist... that's an entire different thing. It's a very risky move, mostly because not only shatters the whole storyline, but also because a main character needs to be likeable to the general audience in order to stand. Personally, I found him closer to indifferent than good or bad, just kind of there. Fortunatly we can see that at the end, there's an intention to bring Johny Cage, who should already be present nonetheless along with Kitana (how can we have Mileena without Kitana?).Also there were some unecessary scenes, like Nitara (totally random choice by the way) literally appearing on screen just to die in the following second, following the footsteps of Rain in MK Anihalation. One way to get around that and other unsuited scene changes would be to increase the movie's lenght or simply not screening the character at all.On the upside, Kano's role is incredibly well performed and gives the movie its whole humour, bringing balance and a reality feeling to it. The fighting sequences are good, well shooted from a nice different set of angles, with a lot of movement variety. It's also noticeable they gave enourmous attention to Sub-Zero's special effects, which I think is one the best things in the movie along with some easter eggs like Shinnok's Amulet or Kitana's Fan. Goro's animation is also on a good note.Last but not least, the final standoff between Scorpion and Sub-Zero didn't let down. Very well shooted with an original choreography, and still managing to be loyal to some of the most iconic original moves from the game characters.To summarize, it's a generally well done remake. Although needing a lot of work, mostly on actor's performance and argument, has potential to set the foundations for an upcoming cinematic universe to be explored, which after all these years, MK absolutely deserves.","positive"
7,"I enjoyed MK overall, it was funny, action packed and generally quite faithful as an adaptation. The acting was also really good, with Joe Taslim as Subzero being the highlight for me. I was very disappointed however with the lack of an actual tournament, the fights were either ambush's or quick come and go brawls, there was no structure or rules, which I expected for the first mortal Kombat movie.I also didn't gravitate towards the newcomer Cole, I felt like he was unnecessary, I understand wanting to do your own thing sometimes but this was not one of those times. He also beats an iconic MK character which rubbed me the wrong way, but hopefully we'll see them again. The opening is brilliant and the second act is solid, but it's final act is very rushed and leaves you with little time to take it all in. Pretty good but not what I was hoping for.","positive"
7,"I believe I was 12 years old when the first Mortal Kombat came out at the arcades, I would stand in lines meticulously destroying my competition. Watching this movie brought back memories that I hadn't thought about since I was young . To make this short, The nostalgia was perfect, they had all the old champions with a few new mixed in..The beginning was awesome, I really thought it was going to be a different Mortal Kombat movie, However, the beginning is the only drama you see after that its all fights. WHICH WERE AWESOME, but for people looking to see some sort of drama or decent script writing it falls very short.","positive"
10,"I am not quite sure why many are going into this movie expecting some ""Grade A"" writing and pacing. This is literally a Mortal Kombat movie you know what you are going to get and it gave what was needed good entertainment and fighting and brutality. I didn't start up Mortal Kombat on my HBOMax expecting some amazing award-winning plot or writing I came for the fights and characters. I am not sure what a lot were expecting out of this its Mortal Kombat lol also the fight choreography was really well done I am not sure what in the world some are talking about.Entertaining movie and pretty much what I expected.","positive"
10,"I can say that I loved every part of the movie, even the boring parts, the story wasn't bad, although I would prefer to have Cole as a secondary character other than the main character, Would prefer to have more ninjas in the movie,(Scorpion, Subzero, Ermac, Reptile, Rain, Smoke, Noob, Jade, Kitana) but I wasn't mad about it, (well maybe reptile, I would prefer a more human reptile with powers than a actual reptile)The lack of Johnny Cage I can understand, he has a BIG personality to be introduced in a movie with so many characters, I gladly welcome him in the sequel.Kano was... Kano. The actor got 100000% the personality. I honestly couldn't think of a better portrait of the character. ON POINT! KUDOS Josh Lawson.Kung Lao and Jax were another great characters. The rest was a bit generic to be honest. But it was corny and entertaining, everything I wanted from MK.There were things that were a bit rushed like some way characters got their inner power. But all in all it was entertaining and great.Waiting patiently for a sequel.","positive"
10,"Have been playing the game since MK1. Legacy must go on.","positive"
10,"AMAZIIIIIING need the sequel and more characters :D.","positive"
10,"I'm by no means a Mortal Kombat expert but it was one of my favorite games to play as a kid, back on a Super Nintendo! <U+0001F633> But I have also enjoyed playing the newer MK games on newer devices as well. The games now are very graphic, and the movie delivers on that as well. I love that the characters say lines from the game like ""Flawless Victory"" and ""Kano wins!"" I really don't understand why anyone watching it would be upset with that. Have you guys ever even played the game? Kano was hilarious. I did want a little more from Mileena. Scorpion and Sub Zero were amazing! Great fight scenes! I'd definitely recommend this movie.","positive"
