"text","class_label"
"ex cyclone debbie bringing bad weather i schools se qld closed so i early holidays yay ‚†","direct_eyewitness"
"we r receiving tail end cyclone debbie theres lots flooding schools queensland aust closed wind wild","direct_eyewitness"
"little bit late i know cyclone debbie done messed town good strim on solo arbitrator","direct_eyewitness"
"like path train our hamilton island holiday cyclone debbie","direct_eyewitness"
"we huge drenching area effect cyclone debbie during break weather i httpstcoumbcec","direct_eyewitness"
"cyclone debbie turns sharknado one washes road httpstconiixxitpyh","direct_eyewitness"
"dont like stay inside please ‚† httpstcogvjyhubg","direct_eyewitness"
"so umbrella just injured i tried walk dudley extropical cyclone debbie httpstcohxtynxng","direct_eyewitness"
"cyclone debbie got schools cancelled queensland two days let holidays begin d","direct_eyewitness"
"see green im somewhere floodwatch tcdebbie weather httpstcoahfiswhea","direct_eyewitness"
"thanks cyclone debbie destroying hometown also cancelling flights making miss dixiechicks concert Òûd","direct_eyewitness"
"cyclone debbie just hit live school today people queensland please stay safe c","direct_eyewitness"
"hot tip water wrecks door woodwork floor itll get gets door jam bnestorm tcdebbie","direct_eyewitness"
"delighted fleeing cyclone debbie last flight leave melbourne idontlikerain httpstcoghugzpmzp","direct_eyewitness"
"no school bed apartment flooding yo thanks tcdebbiehttpstcoxkyfgnny","direct_eyewitness"
"oh guess state effected excyclone debbie leftover rainwind approaching","direct_eyewitness"
"now sky and ocean teaming kill us australia httpstcohyfgusif","direct_eyewitness"
" joesugg currently stuck aftermath cyclone debbie gaming series i binge watch","direct_eyewitness"
"running rain wind pick debre feeling like tcdebbie httpstcoebvskztm","direct_eyewitness"
"cyclone debbie hitting hard day getting harder sandbags place riding ","direct_eyewitness"
"damn cyclone debbie i get groceries today","direct_eyewitness"
"cyclone debbie hitting brisbane bad just told go work unsafe ‚Äûdd","direct_eyewitness"
"today crazy sitting eye ex cyclone debbie waiting pass winds flare one last blast","direct_eyewitness"
"all schools closed se qld due remnants cyclone debbie this will throw today bit chaos","direct_eyewitness"
"when get evacuated fucking cyclone debbie fuckdebbie","direct_eyewitness"
"wellgold coast underwater nowa will get back ship next monday god bless fort golff fortegolf httpstcohhnoskfcqk","direct_eyewitness"
"farmhouse i rode cyclone debbie ferocious winds tore holes walls smashed windows today httpstcogvgggfkd","direct_eyewitness"
"work got canceled weather due cyclone debbie my weekend starts early","direct_eyewitness"
"were getting little wet today excyclone debbie sent us rain not great day httpstcottwumie","direct_eyewitness"
"the rain just got heavier tcdebbie debbiedoesqld","direct_eyewitness"
"sooo cyclone debbie decided holiday brisbane everything closed thanks girl","direct_eyewitness"
"other rain amp ive seen amp facebookwhat cycloneflooding qldpol tcdebbie","direct_eyewitness"
"ubisoftsupport good now cyclone debbie gone now power back ","direct_eyewitness"
"ok guys i want keep updated we currently flooded area aftermath cyclone debbie httpstcovxqtutspr","direct_eyewitness"
"by way survived cyclone debbie a bit wet survived","direct_eyewitness"
"flight cancelled due cyclone debbie virginaustralia refuse refund flight awful customer service will never use ","direct_eyewitness"
"school cancelled today tomorrow cause cyclone debbie hitting east coast qld australia yay soo boring c","direct_eyewitness"
"artistabbas im severe weather last bit ex cyclone debbie ill best rt keep losing connection still got power though≤Òöö b","direct_eyewitness"
"showering digging trenches around home amp hoping get flooded cyclone debbie ‚Äûd httpstcodytxtlrz","direct_eyewitness"
" mulalaevalisto feeling great cyclone debbie happening around state school cancelled i can sleep","direct_eyewitness"
"a bit flooding area brisbane we may need ark tonight û debbie cyclonedebbie bigwet floods httpstcoramwiagm","direct_eyewitness"
"australian cyclone debbie really us a à","direct_eyewitness"
"on way early school pickup thanks excyclone debbie","direct_eyewitness"
"i feel guys pain drive bit like dodging flooded streets â httpstcodhoqkcmv","direct_eyewitness"
"memorieholiday im gonna watch stream i feel like cyclone debbie dropped twilight zone","direct_eyewitness"
"tomorrow one last math classes exam worth grade thanks cyclone debbie im flooded stuck home uni","direct_eyewitness"
"cyclone update â â â â≤‚ÄùøÒëè we currently suffering tail end cyclone debbie under httpstcofykrktju","direct_eyewitness"
"i streamed lecture morning cbl classes canceled remnants cyclone debbie brisbane closed bigwet","direct_eyewitness"
"bigwet first road block police officer waves us saying thanks coming redcrossau tcdebbie httpstcostrypqw","direct_eyewitness"
"cyclone debbie can kindly leave now Òëè","direct_eyewitness"
"cyclone debbie arrived gold coast queensland httpstcoycnvzqjj","direct_eyewitness"
"starting really feel effects cyclone debbie httpstcoxtdviles cyclonedebbie httpstcobiyshpag","direct_eyewitness"
"she may ex cyclone debbie still cranky bitch mopping patio count active rest flooded httpstcoedbhmtlwh","direct_eyewitness"
"queensland venues issue updates on tonight s urthboy i prevail and spiderbait shows as cyclone debbie hits httpstcotzpnglcbi","direct_eyewitness"
"queensland stay safe im sorry everyone effected cyclone debbie i loving rain","direct_eyewitness"
"stay safe qld our bridge still operational avoid travel conferencecall bigwet bneweather httpstcosdofkunxv","direct_eyewitness"
"debbie stop bitch already youve done enough damage","direct_eyewitness"
"cyclone debbies devastating floods seen air httpstcoktryseyf","direct_eyewitness"
"when school gets cancelled cyclone debbie","direct_eyewitness"
"i grew queensland used go swimming disgusting flood waters how hard am i httpstcoskjlcpmpa","direct_eyewitness"
"this remains cyclone debbie heading way httpstcoefcclwk","direct_eyewitness"
"cyclone debbie least day school","direct_eyewitness"
"is best got debbie bring httpstcovgqwqzhk","direct_eyewitness"
"i survived cyclone debbie thanks parma coriander advocates concern u kents","direct_eyewitness"
"miss cyclone debbie really overstaying welcome you also getting noisy im choosing httpstcoxnhwvren","direct_eyewitness"
"due current weather event se qld closed amp will reopen next week thoughts effected staysafe tcdebbie","direct_eyewitness"
"cyclone debbie forced us rescheduled show brisbane tonight add flights schedule ‚† ‚† fuckyoudebbie","direct_eyewitness"
"cyclone debbie ruined day","direct_eyewitness"
"nothing like bit preholiday stress due trains need get airport cancelled cyclone debbie","direct_eyewitness"
"no work amp school d vinaka cyclone debbie httpstcotsbzunmwm","direct_eyewitness"
"my class cancelled today result cyclone debbie ill take opportunity relax try get ahead classes Òñf úa","direct_eyewitness"
"yew cyclone debbie","direct_eyewitness"
"watching destruction left behind tc debbie lismore underwater river near house burst rain reported","direct_eyewitness"
"debbie caused havoc north cracking champagne tcdebbie farmlife httpstcoyjschtwa","direct_eyewitness"
"cyclone debbie made way ","direct_eyewitness"
"the view office leftovers tcdebbie never seen much water life httpstcolpyxqpuc","direct_eyewitness"
"holyy shitttttt wonder wind fucking crazy httpstcofhsqftl","direct_eyewitness"
"hey everyone we still cyclone debbie we best running asap httpstcoblztxhww","direct_eyewitness"
" fleuranderson all ok fleur cyclone debbie left dazed i wine hand good stuff bottled water","direct_eyewitness"
"so leftover cyclone debbie australia queensland httpstcoahvoqzpl","direct_eyewitness"
"mikedoylecomedy airlie beach devastated cyclone debbie ","direct_eyewitness"
"cyclone debbie got big wet","direct_eyewitness"
"just survived cyclone debbie â","direct_eyewitness"
" britishairways hi ba thanks cyclone debbie qantas flight london delayed meaning strong possibility i will","direct_eyewitness"
"mulalaevalisto im feeling great just contemplating life cyclone debbie occurs state good school ","direct_eyewitness"
"youcanbethestar s torrential rain cyclone debbie i m still thinking snatching cunt httpstcottuacdxcp","direct_eyewitness"
"jlist welcome ex tropical cyclone debbie we somewhere your daughters old school se qld httpstcoyfroafw","direct_eyewitness"
" schools last min closed bcos storm fk cyclone debbie halfway alr","direct_eyewitness"
"inspecting tcdebbie aftermath w turnbullmalcolm nth qlders r resilient days weeks amp months ahead r go httpstcowfvrrggm","direct_eyewitness"
"i imagine cyclone debbie like full strength experiencing tail end scary enough à","direct_eyewitness"
"lol home snow days cold days uni closed bc cyclone debbie hahahahahahah sick Òï‚Äò d httpstcogqoqzdmp","direct_eyewitness"
"debbie debbie debbiewhat done≤ÔøΩ‚ÑñøÒëè i went north meet come home brisbane tcdebbie","direct_eyewitness"
"thanks weather cyclone debbie i get day uni today only problem class today assignment due tonight","direct_eyewitness"
"zacharylevi guys windy happening us right now httpstcolkbrcb","direct_eyewitness"
"because people keep asking i m good safe i live cyclone debbie causing flooding httpstcoqvxcwnnup","direct_eyewitness"
"ayyeeee work got cancelled cause floodssss thank cyclone debbie ûa","direct_eyewitness"
"jetstarairways helpful need change flights due cyclone debbie no one able assist cyclonedebbie","direct_eyewitness"
"i getting hit ex tropical cyclone named debbie right now storm rain flooding heading way right now","direct_eyewitness"
"wet wet wet today great day stay indoors extropical cyclone debbie spread northern nsw httpstcogxazfjad","direct_eyewitness"
"update tcdebbie flooding ongoing still flash flooding across south east visit httpstcowjqfywbmi info bigwet","direct_eyewitness"
"we now setting recovery hubs mackay tcdebbie more info come mackaycouncil httpstcokkiayweja","direct_eyewitness"
"child happy school cancelled cause flash flooding cyclone debbie bit windy wet still gotta go ","direct_eyewitness"
"scrowder my luck dragon just survived cyclone debbie australia i win httpstcozhgdmal","direct_eyewitness"
"oh good more rain humidity sydney tcdebbie httpstcogxqckvkcw","direct_eyewitness"
"cyclone debbie ruining life tbh","direct_eyewitness"
"this one shot yesterday morning effects cyclone debbie reached httpstcowdfjomr","direct_eyewitness"
"my awol undamaged apart bent antenna cyclone debbie captain webb aft deck day httpstcotpyrxx","direct_eyewitness"
"am i gonna die httpstcoisrxgeqp","direct_eyewitness"
"im fine btw high rise warning people low lying areas get ready evacuate tail end cyclone debbie ","direct_eyewitness"
"thank prompt service energex brisbanecityqld longwet tcdebbie treedown besafe httpstcoqkyqbgnqnw","direct_eyewitness"
"mystic i go outside cyclone debbie holding hostage","direct_eyewitness"
"made tcdebbie hoping everyone going get hit following wind rain stays safe","direct_eyewitness"
"school just got cancelled cyclone debbie can tell queenslander","direct_eyewitness"
"hi thanks flooding us amp cancelling school cyclone debbie","direct_eyewitness"
"just wish cyclone debbie hit actually uni","direct_eyewitness"
"im lowkey complaining cyclone debbie i live cause just raining i love ","direct_eyewitness"
"thank u cyclone debbie cancelling school work across queensland tru mvp","direct_eyewitness"
"tropical cyclone debbie saw ausyfish utc httpstcoebwxtl disaster typhoon video","direct_eyewitness"
"hi everyone in case anyone missed im back afterdays cyclone debbie internet its lovely see sunshine","direct_eyewitness"
"i saw cyclone debbie hit australia glad ok still sharing journey","direct_eyewitness"
"this rain cyclone debbie insane even gold coasteverywhere flooded flood cyclonedebbie goldcoast","direct_eyewitness"
"laura good good me there reality tv show us ricky there reality tv show its called news tcdebbie","direct_eyewitness"
"all schools closed queenslands southeast corner extropical cyclone debbie descends all scho httpstcoyzkomzotg a","direct_eyewitness"
" five day weekend thanks debbie ive never grateful cyclone ","direct_eyewitness"
"on side note even cyclone debbie hit brissy im safe guys Òï‚Äò","direct_eyewitness"
"im seeing panic hiring dvds near riot decent ones gone tcdebbie","direct_eyewitness"
"thanks cyclone debbie no school yayaya","direct_eyewitness"
" cyclone debbie finally hits power phone ‚† Òë real winner debbie","direct_eyewitness"
"amyleeev dark sth east queensland wet thanks ex tropical cyclone debbie","direct_eyewitness"
"cyclone debbie given day school today chance catch marking httpstcoolfqefz","direct_eyewitness"
"cyclone debbie can fuck right i work today non stop raining kms","direct_eyewitness"
"here come rain mm rain ex cyclone debbie going get flood next week sometime","direct_eyewitness"
"heres responding cyclone debbie keep connected httpstcoqmislaevrv","direct_eyewitness"
"airlie beach recovery mode rained night still without power water tcdebbie httpstcogljujbzc","direct_eyewitness"
"current situation i lol everyone work gone home flooded cant get home im httpstcoddfcbvyy","direct_eyewitness"
"we hope everyone safe cyclone debbie were open again come visit call detectives httpstcobzzfmstjhs","direct_eyewitness"
" uni today thanks cyclone debbie","direct_eyewitness"
"about cyclone debbie happening queensland i safe house ill continue make updates next hour","direct_eyewitness"
"aaaron yeah smack bang middle hahaha its aftermath cyclone debbie httpstcozvcewwpqo","direct_eyewitness"
"cyclone debbie messing shit so i slide amysharkmusic insta comments get advice httpstcomfwhopwr","direct_eyewitness"
"cyclone debbie flood ‚§ school yay ‚†","direct_eyewitness"
"i survived cyclone debbie im deadyet ‚†jk im alive well power internet service drops ill try update","direct_eyewitness"
"cyclone debbie coming way im fucking pissed","direct_eyewitness"
"when get work road flooded ctcdebbie ifitsfloodedforgetit httpstcocgwburlv","direct_eyewitness"
"the haraí‚Æ team trapped resort cyclone debbie work ping pong table organise httpstcopzskflaccb","direct_eyewitness"
"feels school cancelled remains cyclone debbie httpstcozgzckenp","direct_eyewitness"
"classes cancelled uq due ex tcdebbie making travel ill advisdd","direct_eyewitness"
"all nia classes cancelled today tomorrow due severe weather httpstcodkzgjijo via abcnews","direct_eyewitness"
"this debbie cyclone upset httpstcoeixdcllidp","direct_eyewitness"
"cyclone debbies rain becoming unbearable httpstcovaxmgepagm","direct_eyewitness"
"weekend noosa via airbnb cancelled less days notice got full refund tcdebbie","direct_eyewitness"
"because cyclone debbieclasses cancelled exams cancelled ones gonna stop olivia go beach ‚† ‚† ‚†wot even","direct_eyewitness"
"hr rainfall far fallout ex tropical cyclone debbie brisbanelets just say bit wet today httpstcoypffnisvk","direct_eyewitness"
" house almost flood rain cyclone debbie thanks ses helping today much love mountain ‚Äûd","direct_eyewitness"
"no sleep last night thanks cyclone debbie trees possibly scariest nights sleep life","direct_eyewitness"
"hmm looks like caught tail end cyclone bigwet debbie raingalore","direct_eyewitness"
"mm rain fallen just morning rain gauge spinning like petrol pump catch tail cyclone debbie","direct_eyewitness"
"cyclone debbies tail hitting us today im getting flooded they said going get worse ","direct_eyewitness"
"training inside ex tcdebbie amp thenannystate shut brisbane today tried httpstcomoxgtdnvpg","direct_eyewitness"
"more rain getting edges cyclone debbie category hit north queensland httpstcogclgxyiiw","direct_eyewitness"
"school got cancelled cyclone debbie i assessment doooo httpstcovupuzprosw","direct_eyewitness"
"in brisbane data collection half cancelled tropical low cyclone debbie Òëè httpstcosrpazirun","direct_eyewitness"
"cyclone debbie hit overnight flooded shift got cancelled bc park lowkey flooding lost power","direct_eyewitness"
"cyclone debbie took toll north queensland saw competition cancelled today aussies staying dry tough","direct_eyewitness"
"when one bros needs ride work cyclone debbie httpstcoidjjuga","direct_eyewitness"
"thanks cyclone debbie school today ellabeattie","direct_eyewitness"
"in torrential rain couple angles delivered food coffee crew thankyou tcdebbie httpstcowxypne","direct_eyewitness"
"just remains edge cyclone debbie reach us luckily house fine flooded left right centre ","direct_eyewitness"
" classes cancelled today wew coz effects cyclone debbie","direct_eyewitness"
"just pulled hour shift cyclone debbie glad back home family too tired sleep though","direct_eyewitness"
"flown back thru cyclone debbie flying back shortly thru i still smiling lovemylife","direct_eyewitness"
"right now getting heavy rain ex tropical cyclone debbie very heavy rain backyard flooded its going nothing day","direct_eyewitness"
"schools closed across brisbane yay those struggled cyclone debbie help cyclonedebbie stormseason","direct_eyewitness"
"all ready big day hmm cyclone debbie decided throw tree surgery àas luck httpstcorysftcuuw","direct_eyewitness"
"winds kph right now can hear woosh woosh gusts around house mackay cyclonedebbie tcdebbie ","direct_eyewitness"
"helenantrobus thanks well although getting tail end cyclone debbie tonight","direct_eyewitness"
"our fire alarms keep going literally bucketing rain took batteries look cyclone debbie im confused","direct_eyewitness"
"currently trapped cyclone debbie ive seen many hurricane seasons miami scary no buses stay safe everyone","direct_eyewitness"
"cyclone debbie made way Òû Òû Òû","direct_eyewitness"
"wow cyclone debbie sure bag half wind power flicked going now","direct_eyewitness"
"i blame rain today cyclone debbieÒëè","direct_eyewitness"
"extropicsl cyclone debbie officially â â â","direct_eyewitness"
"hey school brisbane cyclone debbie","direct_eyewitness"
" current weather cyclone debbienow tropical storm hence stream til flash floodingpower outages amp httpstcoqjjhhapbt","direct_eyewitness"
"one spots can get good phone reception hamiltonisland moment cyclonedebbie tcdebbie httpstcotydqlgcr","direct_eyewitness"
"schools cancelled today due aftermath cyclone debbie httpstcolpewbugqcc","direct_eyewitness"
"adventure time chasing cyclone debbie cyclonedebbie middle creek httpstcozquswvkjl","direct_eyewitness"
"youknowyoureaustralianwhen school gets cancelled rain cyclone debbie httpstcopnkwedk","direct_eyewitness"
"going back home school gave holiday due cyclone debbie childish happiness hehe httpstcozdtwrutov","direct_eyewitness"
"ready job interview yes ready deal huge downpour thanks ex cyclone debbie ","direct_eyewitness"
"thank u cyclone debbie closing university","direct_eyewitness"
"cyclone debbie severe shut literally the whole of my state queensland","direct_eyewitness"
" just tryna go walk get coffee cycloneing outside ‚§ httpstcorflupo","direct_eyewitness"
"dear cyclone debbiefuck off were over you now","direct_eyewitness"
"cyclone debbie crazy betch got campus closed i complain","direct_eyewitness"
"only australia winds kph dickweed goes surfing i meansure swell good check brea httpstconvcvq","direct_eyewitness"
"got sent home work the gold coast flooding quick hope pool flooded seqld tcdebbie","direct_eyewitness"
"tanamongeau careful babe flooding real bad thx cyclone debbie ‚Äûc c","direct_eyewitness"
"well now floods debbie done us qldnsw i hope safe i hope stay safe dont httpstcolvkvlfg","direct_eyewitness"
"hope cyclone debbie kills everyone school including ","direct_eyewitness"
"annnnndddddd power went cyclone debbie strikes ","direct_eyewitness"
"uni classes canceled today due cyclone debbie amp monsoonal rainstyphoons ‚±d","direct_eyewitness"
"dead bull shark washes severe floods httpstcofturcowjiw","direct_eyewitness"
"so aftermath cyclone debbie hits south east queensland rain like seen time cyclone httpstcojspnevii","direct_eyewitness"
"two days bathtub survive cyclone debbie cyclonedebbie httpstcoegqtgqgvjo","direct_eyewitness"
"yeah survived cyclone debbie glad sheltered everyone happy","direct_eyewitness"
"also i think tcdebbie already hit brisbane","direct_eyewitness"
"ya looks like ill swimming everywhere next days shout excyclone debbie","direct_eyewitness"
"from posts im reading back home sunshine coast defects cyclone debbie pretty dramatic httpstcoorwhvdta","direct_eyewitness"
"im pretty bull already upstream httpstcozazcmxafp","direct_eyewitness"
" tail end cyclone debbie expecting evacuate houses morning yet woke wtf austra httpstcoxtpswyykk","direct_eyewitness"
"just gone thru cyclone debbie made bit mess moranbah","direct_eyewitness"
"hello tony im george i live brisbane tonight cyclone debbie category and category httpstcoevfybbkzb","direct_eyewitness"
"alttheman we k customers without power due heavy thunderstorms still assessing damage debbie","direct_eyewitness"
"good round sad announce golf club trivia also cancelled tonight opposition probably stoked httpstcohwdqytiyy","direct_eyewitness"
"this avoid driving can wild weather left road sarina range tcdebbie httpstcohtuuxeegys","direct_eyewitness"
"myriad still careful getting following heavy traffic tcdebbie qldflood qldweather httpstcojcyasef","direct_eyewitness"
"so scared cyclone debbie hitting hard us today Òû school cancelled thank goodness flooded ‚†","direct_eyewitness"
"sitting dark amp feeling bit bummed i able fly myriadlive today due tcdebbie nopower flightcancelled","direct_eyewitness"
"crazy weather right now ex cyclone debbie this just around corner place httpstcorpytxsso","direct_eyewitness"
"ex tropical cyclone debbie door step rn httpstcocklfvemkk","direct_eyewitness"
"banquozghost leftover debbie she quite naughty floods i got used i lived wauchope","direct_eyewitness"
"wishing emergency services best luck will doubt long day tcdebbie httpstcogbchwfxm","direct_eyewitness"
"jodiegunders actually owns wedge gumboots i thoroughly enjoy wearing wet toowoomba sho httpstcohclpxyobw","direct_eyewitness"
"tcdebbie i survived tcdebbie i watch tv news week","direct_eyewitness"
"i left north queensland kind weather i feel like biggest idiot brisbane bnestorm bneweather bnewet tcdebbie","direct_eyewitness"
"im stuck home three kids today flooding rains due delightful cyclone debbie so i httpstcoiepumtovs","direct_eyewitness"
"where dreadful humidity sydney suddenly come is effect cyclone debbie","direct_eyewitness"
"day holy moly wet ex cyclone debbie match httpstcomtbeztup httpstcoguwrvbdcne","direct_eyewitness"
"when every school businesses gc closed tomorrow flash flooding thanks cyclone debbie noexams","direct_eyewitness"
"mulalaevalisto feeling great cyclone debbie happening around state school cancelled i can sleep","direct_eyewitness"
"terrinakamura robertofloxley somidalsgaard scarlett billy amp i sitting edge cyclone debbie httpstcoztnxnedjm","direct_eyewitness"
"think i might need flippers thanks cyclone debbie Òû httpstcobsykoa","direct_eyewitness"
" just emerged cyclone debbie","direct_eyewitness"
"proud play small role tcdebbie response recording much damage possible our thoughts wi httpstcosvypp","direct_eyewitness"
"cyclone debbie raging around studio im turning night stopped httpstcoedfofzf","direct_eyewitness"
"pretty relieved spared cyclone debbie family airlie beach saw worst im little exhausted à","direct_eyewitness"
"hello world we copping lots rain edge cyclone debbie as result classes today cancelled","direct_eyewitness"
"id like thank cyclone debbie wine mom storm getting classes cancelled today","direct_eyewitness"
"the wind howling power keeps going energex friends please stay safe bigwet tcdebbie cyclonedebbie","direct_eyewitness"
"the day decide go australia zoo debbie cyclone decides bring rain us Òû Òï‚Äô c ú≤‚Ñ¢ øÒëè≤ÔøΩ‚ÄöøÒëè steveirwinzoo ‚Äö ‚Äöf ÒïÔøΩ ÒïÔøΩ ‚Äö d ÒïÔøΩe","direct_eyewitness"
"ordered uber go school final exam get find school cancelled maaatteee get rekt cyclone debbie Òû","direct_eyewitness"
"so uh ex cyclone debbie found us httpstcomoaowzswco","direct_eyewitness"
"cyclone debbie hitting us hard cyclonedebbie the road house metres fast flowing httpstcoossixfwm","direct_eyewitness"
"okay tcdebbie fun now go away sick cancelling shit rain bigwet","direct_eyewitness"
"sitting dark amp feeling bit bummed i able fly myriad today due tcdebbie nopower flightcancelled","direct_eyewitness"
"cyclone debbie makes way top us schools closed im cancelling work day flash httpstconadyiguj","direct_eyewitness"
"dude cyclone debbie just shut school heck yeah","direct_eyewitness"
"from window‚Äù getting tail end cyclone debbie im going today university closed shops httpstcozbxdymp","direct_eyewitness"
"cyclone debbie still brisbane kms ‚†","direct_eyewitness"
"cyclone debbie brought us beautiful weather","direct_eyewitness"
"looks like ill transiting cyclone debbie barkley marathons","direct_eyewitness"
"barely made home victorianorthey victorianicholas newmarket roads windsor bigwet tcdebbie flooded httpstcotjvsmgjjl","direct_eyewitness"
"this tropical cyclone named debbie killing internet connection nice cyclonedebbie","direct_eyewitness"
"thank so much totally awesome people bne the weather today much httpstcoumexoobubj","direct_eyewitness"
"yep getting bit drenched right now httpstcosqaeyaglh","direct_eyewitness"
"my personal waterfall thanks rain cyclone debbie elvisfrenchie queensland waterfall bigwet httpstcoqnjmhno","direct_eyewitness"
"the eye remnants cyclone debbie finished us httpstcooridnqmk","direct_eyewitness"
"all schools closed queenslands southeast corner extropical cyclone debbie descends httpstcogclbkxvbrq","direct_eyewitness"
"our turn now completely flooded schools closed cars submerged tail end cyclone debbie hitting gold coast","direct_eyewitness"
"we missed cyclone debbie hamilton island one day our dream trip great barrier reef cancelled httpstcoaywtkvfiu","direct_eyewitness"
"mm place excyclone debbie hit southeast queensland see much rain dumped today httpstcofpcmemtcus","direct_eyewitness"
"radiox good afternoon vey wet gold coast getting battering cyclone debbie Òû","direct_eyewitness"
" facing cyclone debbie hope will ok safarilive","direct_eyewitness"
"the low pressure system formerly known cyclone debbie just hit sunny coast and dog happy","direct_eyewitness"
"hold up a second school just got cancelled bahahah praise you cyclone debbie","direct_eyewitness"
"thanks cyclone debbie days school u can stop now i need power im scared dark Òû","direct_eyewitness"
"workbiscuit about flood brisbane get tail end tcdebbie closed schools uni campuses fun","direct_eyewitness"
"this may controversial today ive just driving rain i think bad rn tcdebbie bigwet","direct_eyewitness"
"why one want drive flood waters its often like surface ifitsfloodedforgetit httpstcoyifaqxyd","direct_eyewitness"
"thank debbyryan cyclone debbie think changing name otherwise happy constant rain httpstcoxzvutipjb","direct_eyewitness"
"it rains places heavy rain iron roof warm weather always gives sense home raining o httpstcoccrjdhosx","direct_eyewitness"
"penfreshorganic missed tcdebbie rain good storm now burdekin carlwoods httpstcokiohxsb","direct_eyewitness"
"classes cancelled thanks cyclone debbie Òôû ‚∞","direct_eyewitness"
"shit im outta cyclone debbie supplies Òûd Òûd httpstcorippdngzy","direct_eyewitness"
"this coping if animals weather trying kill us httpstcorntyjmycx","direct_eyewitness"
"ex tropical cyclone debbie currently location rn lmfaooooo coooolll ‚† ‚† ‚†","direct_eyewitness"
"anyways i made home without seeing shit alive well cyclone debbie im still winning bitch","direct_eyewitness"
"damn ex cyclone debbie bitch thanks schools closed region advised leave home","direct_eyewitness"
"just lying bed thought cyclone debbie called debbie named idk anymore httpstcosrcdrayzmh","direct_eyewitness"
"wowbridge normally mtrs logan river httpstcouvsygepi","direct_eyewitness"
"myleehogan mylee good morning we are well amp truly in the wake of cyclone debbie at alexandra headland malcolm lum httpstcozhwkgcoy","direct_eyewitness"
"gm poring rain getting tail end cyclone debbie ok behind clouds sun shini httpstcovdtbssmvap","direct_eyewitness"
"airbnbhelp ive cancel guests reservation due cyclone debbie cutting access roads multiple places extenuating","direct_eyewitness"
" many people area getting sand bags à httpstcoxbsakrudm","direct_eyewitness"
"pilot land plane brisbane now connecting flight fijis cancelled a big fuck cyclone debbie whore","direct_eyewitness"
"my life right now our flat almost just flooded this nutsstaysafebrissy httpstcogyvwtscl","direct_eyewitness"
