"doc_id","text"
1,"The app is good. But , Timer misbehaves like anything . I have started matches with 10-12 seconds less already for god knows what reason. I have premoved and even then timer reduces 10-12 seconds. Go for Lichess instead, there atleast the timer doesn't start till you make the first move, which is mo...Full Review"
2,"This didn't happen earlier but happening for the last week now. Games keep loading but never starts across any game format. After I uninstalled once it worked for 2 days but now the problem is back. Killed the app and retried. No luck. Edit: I searched on 3 and 10 mins which would usually load in se...Full Review"
3,"Pretty nice game, really good for teaching people how to play the basic fundamentals of chess, see when I started playing I had no clue what I was doing, it how pieces move. Since I started playing however, I have learned more complex strategies, including the queen's Gambit, the four move checkmate...Full Review"
4,"This app has a huge amount of depth, even as a free user, but doubly so if you're serious about chess and willing pay for the heaps of options for improving your game. Online matchmaking is extremely quick and smooth too. The problem I do see is the AI are all over the place in terms of difficulty. ...Full Review"
5,"The app is good. But , Timer misbehaves like anything . I have started matches with 10-12 seconds less already for god knows what reason. I have premoved and even then timer reduces 10-12 seconds. Go for Lichess instead, there atleast the timer doesn't start till you make the first move, which is mo...Full Review"
6,"This didn't happen earlier but happening for the last week now. Games keep loading but never starts across any game format. After I uninstalled once it worked for 2 days but now the problem is back. Killed the app and retried. No luck. Edit: I searched on 3 and 10 mins which would usually load in se...Full Review"
7,"Pretty nice game, really good for teaching people how to play the basic fundamentals of chess, see when I started playing I had no clue what I was doing, it how pieces move. Since I started playing however, I have learned more complex strategies, including the queen's Gambit, the four move checkmate...Full Review"
8,"This app has a huge amount of depth, even as a free user, but doubly so if you're serious about chess and willing pay for the heaps of options for improving your game. Online matchmaking is extremely quick and smooth too. The problem I do see is the AI are all over the place in terms of difficulty. ...Full Review"
9,"Does this even need a review, it's amazing.. Works fine. But the only thing is, there could have been a few more bots to play for free, from each tier.. And there could have been some more free puzzles too. But, I won't let these things make me decrease a star from my review. The fact that this app ...Full Review"
10,"It's a fun game and the app has hardly any advert intrusion which is nice. What is annoying is how the app simply stops working when an update is available. The opponent won't move until it's updated. And I like the fact I can move the app to SD storage, but after every update (every couple of weeks...Full Review"
11,"Most definitely one of the better ones out there. But if your like me you will still want to get all the better ones. Not because this one is lacking in any way, it's not. I just like to try them all. The last major upgrade for this one was excellent. They improved the bots selection and gave them k...Full Review"
12,"This is probably one of the best chess apps you can find out there, with a large enough user base to pair you quickly, although I believe the analysis depth shouldn't be limited as much in the free version, because there are free apps available for unlimited analysis (e.g. AnalyzeThis). Also the puz...Full Review"
13,"After the last update the app has been unusable for me. I tried to respond to challenges by clicking the check, nothing happened. My internet speed is really fast but when I try to create a blitz game the ""searching for opponent"" screen only stays for a second and closes by itself. Update- the app i...Full Review"
14,"Pretty good. Way too expensive though. And there's seriously nothing more annoying than the immediate pop-up of ""victory"" or ""defeat"" instead of letting the player analyze the board. Appreciate that the free lessons are a thing, but only being able to go through a couple a week is just awful. Don't ...Full Review"
15,"Massive Potential Being Snuffed Out. Let me make one thing clear, this app helps me kill time and have fun occasionally. On the other hand, there's things about this app that kill ME. I'm a beginner chess player, so obviously I don't have any wins under my belt. I was happy to see that this app seem...Full Review"
16,"Nice app. No irritating ads for free <U+0001F41D> lovers. You can play unlimited person-to-person but there are caps on puzzles per day and lessons per week. But its actually good this way for the long term. I'm removing one star for its rating system. It uses glicko rating system which is not similar to the ...Full Review"
17,"Truly fantastic. I use the pass and play feature at school in recess, I play online with other people, I play daily puzzles to refresh my skills and I challenge friends as we are all very competitive. The app is very polished and a true treasure. It kept me busy in times I had nothing else to do. Co...Full Review"
18,"This game is awesome! You can play against people, bots, and it has trophies so u can see smthing like ur rank! Plus, it has no ads! But the only reason i gave it 4/5 is bc... The lessons, puzzles etc it includes.. Cannot be used more than 1 time per day.. You need premuim for that. But everything e...Full Review"
19,"The app and site are quite good. My issue has been with the terrible customer service I received. My issue was not acknowledged or fairly handled at any stage, only to be blocked from contacting customer support. Unbelievably unprofessional. Have requested a refund of membership fees due to the insu...Full Review"
20,"Deserves every <U+2B50> even if you only have a passing interest in Chess. Yes, you can play Chess but it can also teach you how to play (or play better) with clear guides, game analysis and puzzles. I haven't paid for premium but that offers even more besides."
21,"The only place to play against IM or GM.. lot of lessons or puzzles. There is always place even for beginner to GM, from rating of 1000 to 2800. Whatever is your level, you can always have same level opponent. A good place to improve your offline chess skill. The only con is just like another online...Full Review"
22,"Really good app, I'm a beginner to chess so the training and ""coaching"" aspects are really top notch. My only gripe holding this back from 5 stars is the fact that the app drains battery so fast. I have a Samsung Galaxy S20+ which usually is a tank for battery life. But this app sucks my batteries s...Full Review"
23,"Way too many bugs in the app. Impossible to get help as it takes them DAYS to respond and they usually just ask you to do their work for them so they can pass it on to ""developers"". Yeah.... Just what I want. To pay a premium membership so I can do work for you, look into and document technical prob...Full Review"
24,"I highly recommend u this application if you want to improve at chess ! Fair match ! coceptual learning ! practice sessions ...puzzles and much more to explore here ! ( if you take membership ) but overall it's really good for people like me who want to grab free things often ! ;) thanks developers ...Full Review"
25,"An excellent game for chesslovers. I love playing chess, but unfortunately I can't carry my board in all the places, so I tried mobile chess, but many of the applications I used were not comprehensive. Then I installed this, and guess it's one of the finest application I installed on my mobile."
26,"I loved the app when it was working and basically played every day. However, something changed and now the app will not connect me to any other players, so I cannot play anyone anymore. If this gets fixed, I'd rate the app 5 stars because I love the analysis, the puzzles, and the lessons."
27,"Great way of improving your game and learning new strategies and openings. Excellent gameplay with others from all over the world of a similar level to yourself. So many variations and for every skill level."
28,"Excellent game that is chalk full of learning tools, instructions and tutorials. Play against AI, play a friend, or play online. I want to play. Data galore and analysis all around. Improve your game with this app."
29,"You guys really dropped the ball when you changed the after game analysis. I had paid for a subscription which for any app or service is rare for me the way it was before. Now I definitely would not pay for a subscription. The move by move analysis you had made amateur chess players think learning c...Full Review"
30,"While playing, the opposite players are disconnecting their network to stop the time countdown and they are thinking. It's not fair and you have to code like if total network disconnected time greater than 1 minute, the person should lost the game. Otherwise all the players would do the same like of...Full Review"
31,"So this game is SUPER great with the online ability AND the bots, but one of the biggest problems is that it randomly ""Draws"" a game by stalemate? Like I'll have an easy and clear set up to win and it just draws the game so I don't get the points :/ other than that, tho, it's a super amazing app!"
32,"All notifications are turned on, nothing has changed, but when I returned to the app after some time notifications no longer have sound! I also don't see the invitation popup for a new game sometimes."
33,"No refunds and if you downgrade memberships... They keep money for rest of year for other plan... That's fine if you let me keep the features until then... Instead you get downgraded immediately although you paid for a particular membership for a term. Broadcasts are tricky to navigate and could be ...Full Review"
34,"just fantastic. really almost too good, the button to start a new game pops immediately and with billions of people playing at a time (I assume, what else is there to do) matchmaking is instantaneous. super addicting."
35,"I wish i could show a picture. But i have been encountering a bug with computers. Where if a move a pawn two squares up somehow the enemy pawn takes it as if the pawn i moved only one square up. Example being. I move pawn f6 as black and enemy pawn takes and moves gxf5. I'm getting annoyed at it. Ot...Full Review"
36,"It's a great app, works like a charm and helps you to step up your plays. But since this new update I haven't connected with another person, as in It's not finding any other players. As soon as that's fixed, however, ill change this to five stars!"
37,"it has introduced me to the game of chess and I'm loving it so far ! it's very informative, the drills are practical and the competition is good. the lessons they provide are very insightful too."
38,"I love this app. It's great for analyzing games played against others both human and computer. The immediate feedback on your moves is super useful and helps the player grow in skill at an alarming rate. Instant and specific feedback on every move really helped me know where to focus on and improve."
39,"Great chess app. Very educational and fun. Although I'm using the free version, it's still very helpful especially if you are not playing chess on a very higher level. if you are, I'll advise you to get the full version."
40,"Ive only had this for like 40 minutes and there is a extremly annoying thing people will do if your close to beating them. They will leave. they wont give up or neither just act like a normal person and play till the end they leave for what i assume is making sure you get no points or because they a...Full Review"
41,"The game is amazing and all ... A 2 player mode will be easy to add i think ... But my only problem is there is this nerve wrecking bug where let's say i have a pown at d7 ... Computer has a pown at e5 ... I move mine to d5 ... Computer takes my d7 by moving his e5 to d6 ... Like why ??!!!... I lost...Full Review"
42,"No email athentication was ever sent. Can't chat or add friends. Being that is the whole reason I downloaded this. It's looking like the coders need to spend more time making sure things work right then adding in all there ads"
43,"Very good app with all the required analysis. Also We have the option of vs engine /vs human... That keeps you interested and develop your game. The puzzles are good too... Overall value for money... Cheers"
44,"Good game but the connection is not good, in the middle of the game it shows disconnected and i lose the game because of the time thats why i gave you 3 star please solve the problem as fast as you can."
45,"Automatic resign sucks, I lost many of my matches when I was about to win because of it, even the the opposite player clock is running after my move but then the app crashes and I lose by auto resign.fix this bug plz. It's irritating to lose the winning matches."
