"text","class_label"
1,"the app good but timer misbehaves like anything i started matches seconds less already god knows reason i premoved even timer reduces seconds go lichess instead atleast timer start till make first move mofull review"
2,"this happen earlier happening last week now games keep loading never starts across game format after i uninstalled worked days now problem back killed app retried no luck edit i searched mins usually load sefull review"
3,"pretty nice game really good teaching people play basic fundamentals chess see i started playing i clue i pieces move since i started playing however i learned complex strategies including queens gambit four move checkmatefull review"
4,"this app huge amount depth even free user doubly serious chess willing pay heaps options improving game online matchmaking extremely quick smooth the problem i see ai place terms difficulty full review"
5,"the app good but timer misbehaves like anything i started matches seconds less already god knows reason i premoved even timer reduces seconds go lichess instead atleast timer start till make first move mofull review"
6,"this happen earlier happening last week now games keep loading never starts across game format after i uninstalled worked days now problem back killed app retried no luck edit i searched mins usually load sefull review"
7,"pretty nice game really good teaching people play basic fundamentals chess see i started playing i clue i pieces move since i started playing however i learned complex strategies including queens gambit four move checkmatefull review"
8,"this app huge amount depth even free user doubly serious chess willing pay heaps options improving game online matchmaking extremely quick smooth the problem i see ai place terms difficulty full review"
9,"does even need review amazing works fine but thing bots play free tier and free puzzles but i let things make decrease star review the fact app full review"
10,"its fun game app hardly advert intrusion nice what annoying app simply stops working update available the opponent move updated and i like fact i can move app sd storage every update every couple weeksfull review"
11,"most definitely one better ones but like will still want get better ones not one lacking way i just like try the last major upgrade one excellent they improved bots selection gave kfull review"
12,"this probably one best chess apps can find large enough user base pair quickly although i believe analysis depth limited much free version free apps available unlimited analysis eg analyzethis also puzfull review"
13,"after last update app unusable i tried respond challenges clicking check nothing happened my internet speed really fast i try create blitz game searching opponent screen stays second closes update app full review"
14,"pretty good way expensive though and seriously nothing annoying immediate pop victory defeat instead letting player analyze board appreciate free lessons thing able go couple week just awful dont full review"
15,"massive potential being snuffed out let make one thing clear app helps kill time fun occasionally on hand things app kill me im beginner chess player obviously i wins belt i happy see app seemfull review"
16,"nice app no irritating ads free ufd lovers you can play unlimited personperson caps puzzles per day lessons per week but actually good way long term im removing one star rating system it uses glicko rating system similar full review"
17,"truly fantastic i use pass play feature school recess i play online people i play daily puzzles refresh skills i challenge friends competitive the app polished true treasure it kept busy times i nothing else cofull review"
18,"this game awesome you can play people bots trophies u can see smthing like ur rank plus ads but reason gave bc the lessons puzzles etc includes cannot used time per day you need premuim but everything efull review"
19,"the app site quite good my issue terrible customer service i received my issue acknowledged fairly handled stage blocked contacting customer support unbelievably unprofessional have requested refund membership fees due insufull review"
20,"deserves every ub even passing interest chess yes can play chess can also teach play play better clear guides game analysis puzzles i paid premium offers even besides"
21,"the place play im gm lot lessons puzzles there always place even beginner gm rating whatever level can always level opponent a good place improve offline chess skill the con just like another onlinefull review"
22,"really good app im beginner chess training coaching aspects really top notch my gripe holding back stars fact app drains battery fast i samsung galaxy s usually tank battery life but app sucks batteries sfull review"
23,"way many bugs app impossible get help takes days respond usually just ask work can pass developers yeah just i want to pay premium membership i can work look document technical probfull review"
24,"i highly recommend u application want improve chess fair match coceptual learning practice sessions puzzles much explore take membership overall really good people like want grab free things often thanks developers full review"
25,"an excellent game chesslovers i love playing chess unfortunately i carry board places i tried mobile chess many applications i used comprehensive then i installed guess one finest application i installed mobile"
26,"i loved app working basically played every day however something changed now app will connect players i play anyone anymore if gets fixed id rate app stars i love analysis puzzles lessons"
27,"great way improving game learning new strategies openings excellent gameplay others world similar level so many variations every skill level"
28,"excellent game chalk full learning tools instructions tutorials play ai play friend play online i want play data galore analysis around improve game app"
29,"you guys really dropped ball changed game analysis i paid subscription app service rare way now i definitely pay subscription the move move analysis made amateur chess players think learning cfull review"
30,"while playing opposite players disconnecting network stop time countdown thinking its fair code like total network disconnected time greater minute person lost game otherwise players like full review"
31,"so game super great online ability and bots one biggest problems randomly draws game stalemate like ill easy clear set win just draws game i get points tho super amazing app"
32,"all notifications turned nothing changed i returned app time notifications longer sound i also see invitation popup new game sometimes"
33,"no refunds downgrade memberships they keep money rest year plan thats fine let keep features instead get downgraded immediately although paid particular membership term broadcasts tricky navigate full review"
34,"just fantastic really almost good button start new game pops immediately billions people playing time i assume else matchmaking instantaneous super addicting"
35,"i wish show picture but encountering bug computers where move pawn two squares somehow enemy pawn takes pawn moved one square example i move pawn f black enemy pawn takes moves gxf im getting annoyed otfull review"
36,"its great app works like charm helps step plays but since new update i connected another person its finding players as soon fixed however ill change five stars"
37," introduced game chess im loving far informative drills practical competition good lessons provide insightful "
38,"i love app its great analyzing games played others human computer the immediate feedback moves super useful helps player grow skill alarming rate instant specific feedback every move really helped know focus improve"
39,"great chess app very educational fun although im using free version still helpful especially playing chess higher level ill advise get full version"
40,"ive like minutes extremly annoying thing people will close beating they will leave wont give neither just act like normal person play till end leave assume making sure get points full review"
41,"the game amazing a player mode will easy add think but problem nerve wrecking bug say pown d computer pown e i move mine d computer takes d moving e d like i lostfull review"
42,"no email athentication ever sent cant chat add friends being whole reason i downloaded its looking like coders need spend time making sure things work right adding ads"
43,"very good app required analysis also we option vs engine vs human that keeps interested develop game the puzzles good overall value money cheers"
44,"good game connection good middle game shows disconnected lose game time thats gave star please solve problem fast can"
45,"automatic resign sucks i lost many matches i win even opposite player clock running move app crashes i lose auto resignfix bug plz its irritating lose winning matches"
46,"pros nice stable app contains hundreds puzzles train skills cons many several solutions when i choose better one authors chosen considers i wrong"
47,"half fun comes chatting playing chess today i played chess i able chat person chat section keyboard coming i typed enter message going end plz check problem i really like app tfull review"
48," best ever get play matches solve puzzles within limited timeline get daily problem play bots really train unlimited number matches i just loved app"
49,"if intend grow career chess ratings titles place basics lessons openings game analysis online opponents including real life grandmasters tournaments daily puzzles you still can work even dont want invest dime tfull review"
50,"updating former rating system error time i try recap match fact lessons update keeps saying i completed lesson just restart lesson video really making regret buying year membership getting disappointed seeing pointfull review"
51,"im going back lichess one reduced rating stars after playing fair bit im chess hack i can quite easily beat aron computer player next free computer player emir rating gap goes aron silly makes ton mistakes notfull review"
52,"excellent experience app androids does even need review amazing works fine but thing bots play free tier and free puzzles "
53,"the app bugs fails connect properly fastest connect available world end times constantly costs time clock wont accept complaints forums shite"
54,"this chess game great ads also played offline this chess game many attractive themes just loved its chess lessons allow learn get better beginner wanted get better chess playing and many features full review"
55,"this site lagging playing bullets ultra bulletstime reducing opponent moves lichess far better bullets compared this will work internet spped gb per sec this laggy bullets"
56,"platform good i keep getting disconnected many times player trash app so basic connectivity all apps stay connected how game gets disconnected save adjourn game continuation saving position remaining time bad tefull review"
57,"great way learn chess one downside constant beg money everything gold member i really recommend buying mostly analysis puzzles"
58,"a good gamebut cool people analyse play puzzles free good game but lot toxic players afterall anyways really good game afterall i play studying just take break"
59,"i love chess playing website year now played around games today downloaded app first time hate movement pieces bad thought will better website worst"
60,"one third class app worst algorithm time management worst points destribution worst part and server condemnable frequently gets crashed even internet best and use many updates even solve simple bug pawn moves if make stfull review"
61,"sometimes find players seems like technical issue also app option player chess yet otherwise love "
62,"ive playing month ive noticed reoccurring problem two pawns will right beside yet cpu opponents will move diagonally take piece piece clearly way"
63,"all good service however android game leaves home button back button recent apps button bottom making buttons unusable since now behind system buttons"
64,"its great app website got intrested chess a complain play unrated random people can play unrated people send game invites also dont like pay lessons analysis puzzles"
65,"everything ok i suggestions chatting quite difficult made improvement like whatsapp messenger etc form chatting groups region area people interested can join "
66,"great app i just wish menu redesign i start game someone often instead starting game friend menus clear"
67,"this favorite using years problem i disconnect internet often know wifi app"
68,"not able find opponents bad network indicator keeps blinking internet absolutely fine reinstalling fixes every second day happens everytime i reinstall"
69,"the problem app connecting play game had uninstall reinstall time make work the options within app great making useless app disfunction this happening th may update i issues "
70,"love app very stable lessons helpful never single corrupted game like others i tried good value subscription cost "
71,"live chess connection gets stuck sometimes create problems otherwise great addictive app hats developers pulled genuinely marvel"
72,"i love app engine makes phone extremely hot update i tried developers suggestions its still causing phone run hot now i ads since i updated app"
73,"good app witl huge user base offers different modes time control can choose also chess variants good puzzles lessons but lot content locked behind paywall"
74,"great app please please please please add confirm button going online game ive many nasty surprises accidentally clicking game i not prepared "
75,"one best chess game app available playstore limit puzzel learning features access bit disappointing hope team will make application free near future"
76,"am facing issue past one week earlier when opponent i get checkmate game used hang now i start new game i even tried uninstalling reinstalling game failed"
77," really good program problem times disconnects due network failure though times just muchi find annoying"
78,"game point view good but phone getting heat sometimes even getting closed due heavy heat it phone problem it good state"
79,"this excellent app provides great many themes chose well great connection players i highly recommend app anyone wanting play chess go people around world"
80,"really liked game clean fast experience i see bugs though captured video glitch ps soldr cannot move sideways and then forward in a sigle move p hence stars rating"
81,"in recent update somehow i experiencing issue whee bottom functions overlapping main screen buttons so use properly please let know bug end "
82,"matchmaking nonexistent i understand mad matches row every single game outmatched weeks straight bit ridiculous quite disheartening sure ill uninstall find better platform find different hobby time"
83,"i used several chess game apps i found i deleted others one best online playing option bots play improve fast lessons following recent game much im addicted i love "
84,"the best chess app lots ways practice players computer puzzles timed puzzles lessons etc i also love can play real life pass play mode highly recommend"
85,"one stupid things happening when thinking castle instead decide move rook click castleling fking annoying im freaking mad lose please add additional option id rather click extra button lose accfull review"
86,"this chess game app absolutely awesome everything chess game app cool finest features variants chess lover much weightage given make newbies learn good chess hats devs tournaments also i know works im beginner level"
87,"no words loving superb app very effecient ai features cool everything awesome just one requirement app icon update better colors selection home page design good design lacking"
88,"good overall like d view importantly new games need confirm screen just instantly throw match ur assuming i just automatically know clicking start game option means"
89,"great app problems except mobile version theres big says current puzzle rating home screen fantastic highly recommend"
90,"i normally enjoy playing week now glitches bad i able play i just uninstaller gonna redownload see fixes issues although i see others complaining things itvlooks like just "
91,"one problem log i use vpn this annoying i use time one suggestion give options timeout notification daily games maybe multiple notifications just hours left"
92,"incredible amount users using engine unpunished consistent bugs starting match just opened app used pay subscription never if i play elo feels accounts elos"
93,"only matches worth playing minute matches people stall constantly every match getting punished i remember many matches ive one move away winning just opponent let time expire wanted punish winning minute matcfull review"
94,"its okay app quite bugs mainly playing ai it makes quite illegal moves i move pawn a a beside pawn b he moves b a takes a pawn gives mistake theres quite just repeatable"
