"text","class_label"
"undang hitamputih pemenang ssk jkt mjkt layak undang prestasinya","positive"
"selamat berbuka puasa semoga amal ibadah ni diterima allah ","positive"
" nih trans hitam putih dpt penghargaan norwegia ","positive"
"selamat ya mas masuk hitamputih","positive"
"asiknya nonton hitam putih trans","positive"
" acara komplit menarik hitam putih","positive"
"hitam putih t inspiratif banget","positive"
"suka banget acara hitam putih","positive"
"keren lu bro ","positive"
" yg liat hitam putih trans ga sanggu ganteng","positive"
"cinta mengikat silaturahmi hati ","positive"
"terima kasih membantu menyekolahkan adik ","positive"
"semoga lancar hitamputihtrans","positive"
"trans hitam putih terbaik ","positive"
"acara hitam putih bagus lihat","positive"
" undang acara hitam putih yadia jebolan dangdut academi pinter nyanyi lagu india suaranya keren","positive"
"bagus rancangan trans hitamputih dakwah hiburannya terima kasih ustadz wijayanto","positive"
" rihanna bintang tamu hitam putih kayak kangen tayang ","positive"
"terimakasih menonton hitam putih malam semoga menginspirasi pelajaran utk sobat ","positive"
"acara hitam putih trans topiknya bagus nih ttg kepribadian ganda","positive"
"nonton kisah anastasya wella seru bgt ya kisahnya kepribadian berbeda","positive"
" bikin rindu nya ","positive"
" wihh hebat kakek neneknya ","positive"
" menunggu sekian nongol hitam putih trans","positive"
" asik hitam putih","positive"
"spensa boys poso hitam putih trans asli keren pake kemeja biru putih si gingsul salam ","positive"
"wahh asik nih vocalgrup thanks ","positive"
" slalu nonton hitam putih trans hbs acara nya bagus banget mas dedy","positive"
"acara hitam putih trans malam pembahasannya mantab setuju diperbanyak mengulas ","positive"
"lg seru nonton hitam putih nonton on the spot ","positive"
" trio unyu acara master dedy thanks ","positive"
"perusahaan jujur pekerja yg jujur ","positive"
"keren undang acara hitamputih acara presiden ","positive"
"suka banget episode hitam putih malam ","positive"
"kangen jeketi bintang tamu hitam putih trans seru aja gitu pas jaman gen diundang hitam putih","positive"
"terima kasih menyaksikan hitam putih semoga menginspirasi terhibur","positive"
" ok hitam putih donk undang","positive"
" menginspirasi inspirasi ","positive"
"seru nih hitam putih trans live","positive"
"bersyukurlah hidup indonesia ","positive"
"setuju banget ucapan deddy corbuzier hitam putih trans hr guru tanda jasa naikan gaji","positive"
"selamat siang selamat beraktivitas menunggu hitam putih chaenel kesayangan trans","positive"
" keren ","positive"
"nonton trans hitam putih keren abis jesika cantik dedy ganteng ","positive"
"acara hitam putih oke","positive"
"yuk tweeps merapat sebentar hitam putih live","positive"
"tweeps terima kasih menyaksikan hitam putih besok live ","positive"
" emang keren tamunya","positive"
"subhanallah ni anak karunia yg bandingnya trans hitamputih","positive"
" terkesan mendengar salah dr orang yg maju hitam putih semoga sukses slalu","positive"
"hitam putih bego haruka diundang bentar biar pd liat younglex udah gt dihina bego","negative"
"miris liat pemerintah juara angkat berat seasia tp tdk biaya mengikuti kejurnas ","negative"
"juara angkat berat seasia tdk menerima hadiahnya kejurnas terkendala biaya ","negative"
"haruka kali diundang hitam putih ditolak aja hostnya ga menghargai ","negative"
"berasa aneh nonton acara hitam putih penonton nya anak yg sekolah sekolah gua ","negative"
"sedih dengar curhatanmu roxana semoga tuhan tunjukkan jalan titik terang utk roxana ","negative"
"miris anak indonesia kesulitan bahasa indonesa nyaman bahasa asing ","negative"
"sombongnya mentang kaya pake diumumkan host kaya hitam putih trans","negative"
"parah banget hitam putih trans ngomong sembarang yg merusak generasi muda acara kyk gini","negative"
"orang bangkrut perkara uang bangkrut orang mimpi bangqomar ","negative"
"menakutkan powernya oma martha ","negative"
" hasilnya tdk sesuai dgn yg dikehendaki pendemo demo lg silakah diartikan sbg pemaksaan kehendak","negative"
"mulut farhat abas anjay bener ","negative"
"klo episode muncul ga nonton lg hitam putih ","negative"
"yaampun anak nonton ","negative"
" anak yg butuh pengakuan sang ayah ","negative"
"mario teguh mencampakkan anak nya ","negative"
"orang tuna netra aja berbagi yg pegang jabatan korupsi ","negative"
" garing banget sih ni orang ","negative"
"kalo nyanyi anak lagu na menyakitkan memalukan ","negative"
" maksud ngatain tp knp orang yg ditindes ","negative"
"bos kau kalo cowo kerja salah bentak abis kalo cewe diajakin becanda trus ketawa ","negative"
"suara sang veteran koruptor hukum mati ","negative"
" berita nya ga nyebar sih ","negative"
" buta tuh orang dalem ruangan pake kacamata hitam ","negative"
"ya dunia terharu kepergian mbak jupe ","negative"
" gitu nasib atlet ya ","negative"
"knp ya sahabat bs lupa dg sahabatnya bertemu teman barunya ","negative"
"baby tatan nangis ngeliat daddy ","negative"
"angkat topi tundukkan kepala mbah simpen ","negative"
"toleransi umat beragama yg diterapkan serang banten toleransi mitos ","negative"
"suara sang veteran koruptor hukum mati ","negative"
" berduka anak nya buk ","negative"
" yg yg diharapkan ","negative"
"ga tau buruk kau pergi ","negative"
" udah sodok ajah bu haha ","negative"
"butuh ketegasan masyarakat pemerintah butuh tindakan ngoceh medsos ","negative"
"hidup dijalanin dipikirin ","negative"
"pemimpin pribadi dikorbankan ","negative"
"hidup dijalanin dipikirin mongol stres ","negative"
" demo gak nyelesaikan bermusyawara ajha ","negative"
" bayangkan konvensional online dimana pengusahanya tdk bayar yg perorangan kalah","negative"
" enak taksi konvensional kalo kepepet taksi yg langsung nunggu yg online ","negative"
" kaya gini negara intinya gk setuju usaha kaya gini ","negative"
"gak gadget mahal nipu gk argonya argo kuda gak aman pake konvensional ","negative"
"hidup pilihan pasrah ","negative"
" gawat darurat tetangga menembaki dg sengaja kucing disekitar rumah ","negative"
"miris liat hewan yg aniaya ","negative"
" membicarakan permasalahan orang memalukan","negative"
"dedy sombong nya keteraluan","negative"
"suka banget nonton menambah wawasan belajar membicarakan keren ","positive"
"ngakak mantap dah pokoknya seru","positive"
"rindu ilc indobesia lawyers club tvone","positive"
"indonesia lawyers club program talkshow ditunggu pemirsa tvone membahas topik terkini ","positive"
" kagum buya syafii maarif ilc tvone ","positive"
" panglima membanggakan ilc tvone ","positive"
"rating indonesia lawyers club tv one langsung melesat ","positive"
"sejuk kalo ilc kayak gini obrolannya ilc tvone","positive"
" nonton tvone indonesia lawyers club yuk","positive"
"belajar berdebat bidang hukum ","positive"
"selamat tayang indonesia lawyers club tvone","positive"
" yg bikin adem hati aa gymnastiar ","positive"
"ikhlas melepaskan mendoakan ","positive"
"bang cerdas hebat","positive"
" ustadz keren banget ","positive"
" damai bersenandung","positive"
" damai bersenandung pemecah belah umat beragama dimusnahkan","positive"
"semoga paham sejatinya rupa indonesia ","positive"
"ilc malam adem ","positive"
"indahnya ilc malam pemuka agama rangkul setuju meninggalkan ahok merusak keselarasan bangsa ","positive"
"setuju banget ustad ","positive"
"top banget utadz zaitun rasmin ","positive"
"yuk tonton tvone menyajikan berita obyektif ","positive"
" polmart bijaksana","positive"
"rakyat mendukung kpk usut tuntas ektp ","positive"
"acara televisi suka ","positive"
"ga sabar nunggu ","positive"
"semangat sehat karni penonton setia menunggu ilc tayang ","positive"
"adem dengerin nasehat aa gym semoga sehat slalu lindungannya ","positive"
" ilmu serap semalam menyejukan","positive"
" bangga ","positive"
"salut komitmen berwibawa jenderal sesungguhnya ","positive"
"hormat jendral ","positive"
"aa gym menyejukan mental jiwa ","positive"
"terimakasih buya syafii bangga dg kejernihaannya ","positive"
"penjelasan kapolri barakallahu mari buka hati ","positive"
" memiliki kasih memaafkan org yg maaf keren salut ","positive"
" sampe diketawain krn kalem diujung keringat dingin matanya merem asli lucu","positive"
"ahmad dhani ngomong seru ","positive"
"mendengar pendapat hasim muzadi menentramkan keren ","positive"
"salut hormat utk bang jhonson panjaitan lugas masuk akal ","positive"
"kompak pembelaan bnn n polisi ","positive"
"keren kali abang pengacara botak ","positive"
"jokowi org soleh hendropriyono ","positive"
"top n mencerahkan prof ","positive"
"media dukung ahok pendapatan iklan korporasi ","positive"
" keren bikin melek ","positive"
"salut darmawan salihin ","positive"
"semga ilc informasi ","positive"
"acara debat yag hebat keren ","positive"
" tunggu tvshow indonesia lawyers club tvshow cocok karakter siaran tvone","negative"
"indonesia lawyers club tvone malam batal tayang memalukan rezim sakit takut ","negative"
"potensi teroris bikin pernyataan yg peluang pd teroris ","negative"
"indonesia tp gak sikap dr presiden demo sibuk pencitraan upload video gak ","negative"
" acara membidik habieb rizieq habieb ga pulang indonesia ga ga mutu","negative"
" minoritas ekonomi kuat menguasai mayoritas ekonomi lemah dibahas sumber radikal miris ","negative"
